Ticker,LDR,CASA,CASASource,DemandDeposits,CustomerDeposits,InterbankDep,CreditDepositGap,NIM,ActualMetricCount,MetricCoverage,ParseStatus,ParserLog,RetrievedAt,CASADataType,CASAPeriod,CASASourceName,CASASourceURL
VCB,1.0169754447,,NOT_AVAILABLE,,1728820567000000.0,0.15247145283952132,-0.0003685732412969379,0.0274697447,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:14:22+07:00,,,,
BID,1.1061522236,,NOT_AVAILABLE,,2261720394000000.0,0.10814034378454215,0.0908122531612986,0.0210641822,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:14:43+07:00,,,,
CTG,1.10677871,,NOT_AVAILABLE,,1890809553000000.0,0.1595264836386918,0.08901147803752396,0.0268977165,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:15:08+07:00,,,,
TCB,1.2790980022,,NOT_AVAILABLE,,662447730000000.0,0.12940259620117237,0.26170450157629793,0.0363342376,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:15:31+07:00,,,,
MBB,1.2736407115,,NOT_AVAILABLE,,963815357000000.0,0.16480475028404612,0.2563522537854727,0.0389543319,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:15:51+07:00,,,,
ACB,1.2933656682,,NOT_AVAILABLE,,576603602000000.0,0.13893421571476555,0.27937799285547993,0.0288777064,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:16:13+07:00,,,,
HDB,0.9776600377,,NOT_AVAILABLE,,674058701000000.0,0.1419292897118332,-0.03598430072042049,0.0410515519,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:16:35+07:00,,,,
VPB,1.584692925,,NOT_AVAILABLE,,732887440000000.0,0.23170353915970124,0.5555003357677953,0.0524073241,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:16:55+07:00,,,,
STB,0.9816181355,,NOT_AVAILABLE,,647939224000000.0,0.10096009615691709,-0.06032545422809594,0.0293063327,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:17:17+07:00,,,,
VIB,1.2508474112,,NOT_AVAILABLE,,317451548000000.0,0.24600613632354235,0.2348984765385362,0.0304094941,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:17:38+07:00,,,,
SHB,1.0566131403,,NOT_AVAILABLE,,624269133000000.0,0.16304184701310293,0.03854318871152644,0.0213857423,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:17:59+07:00,,,,
TPB,1.1721814197,,NOT_AVAILABLE,,288477683000000.0,0.2617364342374467,0.15769967550661448,0.0289891823,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:18:19+07:00,,,,
LPB,1.2148474216,,NOT_AVAILABLE,,353513314000000.0,0.1822079550134314,0.19980959472434467,0.0291952818,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:18:41+07:00,,,,
OCB,1.3797867928,,NOT_AVAILABLE,,159695164166116.0,0.18585446400779096,0.3512185490254231,0.0303957638,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:19:01+07:00,,,,
MSB,1.1257897306,,NOT_AVAILABLE,,204674379000000.0,0.27963909389949837,0.11111671187725944,0.0316796336,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:19:22+07:00,,,,
SSB,1.2707149215,,NOT_AVAILABLE,,199777344000000.0,0.2897339173455414,0.25170859714703187,0.0245832806,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:19:41+07:00,,,,
EIB,1.1021110724,,NOT_AVAILABLE,,170608834000000.0,0.1425042034472648,0.09134234514491787,0.0236730221,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:20:02+07:00,,,,
NAB,1.0934269314,,NOT_AVAILABLE,,200095644000000.0,0.32693952318066843,0.082425872299349,0.02188875,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:20:23+07:00,,,,
KLB,1.049954025,,NOT_AVAILABLE,,73925014000000.0,0.2170769042034582,0.03244268577345146,0.0401056713,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:20:53+07:00,,,,
BAB,1.1338242212,,NOT_AVAILABLE,,120141764000000.0,0.1788314697326969,0.11654092243892807,0.0232718555,4,0.8,OK,health:OK || ratio:OK || balance-sheet:OK,2026-08-19T09:21:19+07:00,,,,
