Ticker,Period,LDR,CASA,InterbankDep,CreditDepositGap,NIM,Data Type,Source Mode,Note
VCB,Fallback,0.82,0.36,0.015,0.0,0.034,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
BID,Fallback,0.88,0.18,0.035,0.05,0.03,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
CTG,Fallback,0.87,0.22,0.03,0.04,0.031,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
TCB,Fallback,0.8,0.38,0.01,-0.02,0.04,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
MBB,Fallback,0.83,0.4,0.02,0.01,0.041,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
ACB,Fallback,0.84,0.23,0.015,0.02,0.037,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
HDB,Fallback,0.88,0.19,0.03,0.07,0.045,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
VPB,Fallback,0.91,0.16,0.045,0.09,0.05,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
STB,Fallback,0.9,0.18,0.025,0.06,0.035,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
VIB,Fallback,0.92,0.17,0.035,0.1,0.043,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
SHB,Fallback,0.89,0.14,0.04,0.07,0.032,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
TPB,Fallback,0.87,0.23,0.03,0.05,0.038,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
LPB,Fallback,0.86,0.13,0.025,0.04,0.036,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
OCB,Fallback,0.91,0.15,0.035,0.09,0.034,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
MSB,Fallback,0.82,0.27,0.03,0.01,0.038,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
SSB,Fallback,0.79,0.12,0.025,-0.03,0.03,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
EIB,Fallback,0.77,0.2,0.02,-0.05,0.028,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
NAB,Fallback,0.88,0.1,0.03,0.06,0.033,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
KLB,Fallback,0.84,0.09,0.025,0.04,0.034,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
BAB,Fallback,0.83,0.07,0.03,0.03,0.03,ASSUMPTION,FALLBACK,Chỉ dùng khi chưa có Bronze ACTUAL
